country,species,live_weight
Romania,Sheep,20.0
Romania,Goat,22.0
Romania,Pigs,105.0
Romania,Chickens,2.0
Romania,Horses,350.0
Romania,Rabbits,3.0
Spain,Cattle,475.0
Spain,Sheep,22.0
Spain,Goats,19.0
Spain,Pigs,97.0
Spain,Chickens,2.029
Spain,Turkeys,4.8
Spain,Horses,371.0
Spain,Rabbits,1.842
Sweden,Cattle,510.0
Sweden,Sheep,40.0
Sweden,Pigs,107.0
Sweden,Chickens,1.65
Sweden,Turkeys,3.971
Sweden,Horses,518.0
Switzerland,Cattle,365.0
Switzerland,Sheep,43.0
Switzerland,Goat,33.0
Switzerland,Pigs,107.0
Switzerland,Chickens,1.765
Switzerland,Horses,535.0
Switzerland,Rabbits,3.3
United Kingdom of Great Britain and Northern Ireland,Cattle,544.0
United Kingdom of Great Britain and Northern Ireland,Sheep,37.0
United Kingdom of Great Britain and Northern Ireland,Pigs,93.0
United Kingdom of Great Britain and Northern Ireland,Chickens,2.2
United Kingdom of Great Britain and Northern Ireland,Turkeys,9.2
United Kingdom of Great Britain and Northern Ireland,Horses,308.0
Bosnia and Herzegovina,Cattle,279.0
Bosnia and Herzegovina,Sheep,23.0
Bosnia and Herzegovina,Pigs,81.0
Bosnia and Herzegovina,Chickens,1.189
Bosnia and Herzegovina,Turkeys,9.846
Croatia,Cattle,412.0
Croatia,Sheep,21.0
Croatia,Goats,36.0
Croatia,Pigs,93.0
Croatia,Chickens,1.169
Croatia,Turkeys,10.589
Croatia,Horses,370.0
North Macedonia,Cattle,170.0
North Macedonia,Sheep,39.0
North Macedonia,Pigs,119.0
North Macedonia,Chickens,1.316
Slovenia,Cattle,482.0
Slovenia,Sheep,28.0
Slovenia,Pigs,106.0
Slovenia,Chickens,1.448
Slovenia,Turkeys,10.014
Slovenia,Horses,407.0
Belarus,Cattle,302.0
Belarus,Sheep,45.0
Belarus,Pigs,91.0
Belarus,Chickens,1.692
Estonia,Cattle,258.0
Estonia,Sheep,46.0
Estonia,Pigs,86.0
Estonia,Chickens,1.321
Estonia,Rabbits,2.084
Latvia,Cattle,281.0
Latvia,Sheep,46.0
Latvia,Pigs,100.0
Latvia,Chickens,1.824
Latvia,Horses,448.0
Lithuania,Cattle,272.0
Lithuania,Sheep,51.0
Lithuania,Pigs,111.0
Lithuania,Chickens,1.709
Lithuania,Horses,370.0
Lithuania,Rabbits,2.004
Republic of Moldova,Cattle,315.0
Republic of Moldova,Sheep,29.0
Republic of Moldova,Pigs,95.0
Republic of Moldova,Chickens,1.705
Republic of Moldova,Turkeys,7.666
Republic of Moldova,Horses,370.0
Republic of Moldova,Rabbits,2.0
Russian Federation,Cattle,277.0
Russian Federation,Sheep,34.0
Russian Federation,Goats,30.0
Russian Federation,Pigs,98.0
Russian Federation,Chickens,1.645
Russian Federation,Rabbits,2.066
Ukraine,Cattle,268.0
Ukraine,Sheep,30.0
Ukraine,Goats,30.0
Ukraine,Pigs,112.0
Ukraine,Chickens,1.5
Ukraine,Horses,339.0
Ukraine,Rabbits,3.8
Samoa,Cattle,300.0
Samoa,Pigs,75.0
Samoa,Chickens,1.1
Australia,Cattle,431.0
Australia,Sheep,38.0
Australia,Goats,48.0
Australia,Pigs,95.0
Australia,Chickens,1.75
Australia,Turkeys,5.5
Australia,Horses,560.0
Solomon Islands,Cattle,370.0
Cook Islands,Cattle,300.0
Cook Islands,Goats,33.0
Cook Islands,Pigs,45.0
Cook Islands,Chickens,1.1
Fiji,Cattle,380.0
Fiji,Sheep,30.0
Fiji,Goats,25.0
Fiji,Pigs,70.0
Fiji,Chickens,1.812
Fiji,Turkeys,1.9
French Polynesia,Cattle,330.0
French Polynesia,Sheep,33.0
French Polynesia,Goat,33.0
French Polynesia,Pigs,75.0
French Polynesia,Chickens,1.2
Kiribati,Pigs,55.0
Kiribati,Chickens,1.1
Nauru,Pigs,45.0
Nauru,Chickens,1.1
New Caledonia,Cattle,348.0
New Caledonia,Sheep,30.0
New Caledonia,Goat,26.0
New Caledonia,Pigs,108.0
New Caledonia,Chickens,1.2
Vanuatu,Cattle,448.0
Vanuatu,Goats,22.0
Vanuatu,Pigs,74.0
Vanuatu,Chickens,1.3
Vanuatu,Horses,300.0
New Zealand,Cattle,340.0
New Zealand,Sheep,34.0
New Zealand,Goats,23.0
New Zealand,Pigs,86.0
New Zealand,Chickens,1.82
New Zealand,Turkeys,4.729
New Zealand,Horses,520.0
Niue,Cattle,400.0
Niue,Pigs,99.0
Niue,Chickens,1.279
Papua New Guinea,Cattle,300.0
Papua New Guinea,Sheep,33.0
Papua New Guinea,Goats,33.0
Papua New Guinea,Pigs,45.0
Papua New Guinea,Chickens,1.2
Papua New Guinea,Turkeys,1.7
Papua New Guinea,Horses,320.0
Tonga,Cattle,356.0
Tonga,Goats,33.0
Tonga,Pigs,73.0
Tonga,Chickens,1.143
Tuvalu,Pigs,45.0
Tuvalu,Chickens,1.3
Samoa,Cattle,320.0
Samoa,Pigs,48.0
Samoa,Chickens,1.2
